Part Number,Description,Brand,Price,Quantity,Category,UPC,Weight,Length,Width,Height,Year,Make,Model,Condition
BRK-001,Brake Pad Set - Ceramic Front,AutoZone,45.99,25,Brakes,012345678901,3.5,10,8,2,2020,Toyota,Camry,New
FLT-234,Engine Air Filter,K&N,24.99,50,Filters,012345678902,0.8,12,9,3,2018,Honda,Civic,New
OIL-567,Synthetic Motor Oil 5W-30 - 5 Quart,Mobil 1,29.99,100,Oils & Fluids,012345678903,10.5,11,9,10,,,Any,New
SPK-890,Iridium Spark Plugs (Set of 4),NGK,34.99,40,Ignition,012345678904,0.5,4,4,4,2019,Ford,F-150,New
BAT-123,Automotive Battery 800 CCA,DieHard,149.99,15,Batteries,012345678905,45.2,12,7,9,,,Any,New
WPR-456,Premium Windshield Wiper Blade Set,Bosch,19.99,60,Wipers,012345678906,1.2,26,3,2,2021,Chevrolet,Silverado,New
ALT-789,Alternator 130 Amp,Duralast,189.99,12,Electrical,012345678907,15.8,10,8,8,2017,Nissan,Altima,Refurbished
TIR-321,All-Season Tire P215/60R16,Goodyear,124.99,30,Tires,012345678908,22.3,26,8,26,,,Any,New
STR-654,Power Steering Fluid - 32oz,Lucas Oil,9.99,80,Oils & Fluids,012345678909,2.1,8,3,3,,,Any,New
RDT-987,Radiator - Aluminum,Spectra Premium,119.99,10,Cooling,012345678910,12.5,24,18,4,2016,Mazda,CX-5,New

